libxrandr 1.5.3-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.37-3
libxss 1.2.3-4
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
licenses 20220125-2
lightdm 1:1.32.0-4
lightdm-slick-greeter 1.8.0-1
lilv 0.24.20-2
linux 6.3.2.arch1-1
linux-api-headers 6.3-1
linux-firmware 20230404.2e92a49f-1
linux-firmware-whence 20230404.2e92a49f-1
linux-headers 6.3.2.arch1-1
lirc 1:0.10.2-3
llvm 15.0.7-3
llvm-libs 15.0.7-3
llvm14 14.0.6-3
llvm14-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
logrotate 3.21.0-2
lsb-release 2.0.r48.3cf5103-1
lsof 4.98.0-1
lsscsi 0.32-1
lua 5.4.6-1
lua-lgi 0.9.2-7
lua53 5.3.6-1
lua53-lgi 0.9.2-7
luajit 2.1.0.beta3.r481.g51fb2f2c-1
luit 20230201-1
lv2 1.18.10-1
lvm2 2.03.21-1
lz4 1:1.9.4-1
lzo 2.10-5
m17n-db 1.8.2-1
m17n-lib 1.8.2-1
m4 1.4.19-3
mailcap 2.1.53-1
make 4.4.1-2
malcontent 0.11.1-2
man-db 2.11.2-1
man-pages 6.04-1
md4c 0.4.8-1
mdadm 4.2-2
meld 3.22.0-2
menu-cache 1.1.0-4
mesa 23.1.1-1
mesa-utils 9.0.0-2
meson 1.1.1-1
metacity 3.46.1-1
metis 5.1.0.p11-1
micro 2.0.11-4
minizip 1:1.2.13-2
mjpegtools 2.2.1-2
mkinitcpio 36-1
mkinitcpio-busybox 1.35.0-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-1
mpfr 4.2.0.p9-1
mpg123 1.31.3-1
mpv 1:0.35.1-6
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.3-1
multipath-tools 0.9.5-1
nano 7.2-1
nano-syntax-highlighting 2020.10.10-1
nbd 3.25-1
ncdu 2.2.2-2
ncurses 6.4-1
ncurses5-compat-libs 6.4-2
ndctl 76.1-1
ndisc6 1.0.7-1
neofetch 7.1.0-2
neon 0.32.5-2
nerd-fonts-complete 2.2.2-2
net-snmp 5.9.1-6
net-tools 2.10-2
netctl 1.28-2
nettle 3.9.1-1
network-manager-applet 1.32.0-2
networkmanager 1.42.6-1
networkmanager-openvpn 1.10.2-2
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
nftables 1:1.0.7-2
nginx 1.24.0-1
nilfs-utils 2.2.9-2
ninja 1.11.1-3
nitrogen 1.6.1-4
nm-connection-editor 1.32.0-2
nmap 7.94-1
node-gyp 9.3.1-1
nodejs 20.2.0-1
nodejs-nopt 7.1.0-1
noto-fonts 20230601-1
npm 8.19.2-2
npth 1.6-4
nspr 4.35-1
nss 3.89.1-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p16-1
numactl 2.0.16-1
numlockx 1.2-5
nvidia-dkms 530.41.03-1
nvidia-hook 1.3-1
nvidia-inst 23-5
nvidia-installer-common 23-6
nvidia-settings 530.41.03-1
nvidia-utils 530.41.03-1
nvme-cli 2.4-2
oath-toolkit 2.6.7-1
ocl-icd 2.3.1-1
offsetexplorer2 2.3-1
oh-my-zsh-git r6685.4806f7556-1
oniguruma 6.9.8-1
openal 1.23.1-1
opencl-headers 2:2022.09.30-1
openconnect 1:9.12-1
opencore-amr 0.1.6-1
openexr 3.1.7-3
openjpeg2 2.5.0-2
openmpi 4.1.5-2
openpmix 4.2.3-2
openresolv 3.13.1-1
openssh 9.3p1-1
openssl 3.0.9-1
openssl-1.1 1.1.1.u-1
openvpn 2.6.4-1
opus 1.4-1
opusfile 0.12-3
orc 0.4.34-1
os-prober 1.81-1
ostree 2023.3-1
p11-kit 0.24.1-1
pacman 6.0.2-7
pacman-contrib 1.9.0-1
pacman-mirrorlist 20230410-1
pacutils 0.11.1-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
papirus-folders-git 1.12.1.1.g11223a0-1
papirus-icon-theme 20230601-1
parallel 20230522-1
parted 3.6-1
patch 2.7.6-10
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.10.0-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
perl 5.36.1-1
perl-alien-build 2.80-1
perl-alien-libxml2 0.19-1
perl-capture-tiny 0.48-6
perl-clone 0.46-1
perl-dbi 1.643-4
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-ffi-checklib 0.31-2
perl-file-chdir 0.1011-4
perl-file-listing 6.15-2
perl-file-which 1.27-2
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-path-tiny 0.144-1
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.19-1
perl-www-robotrules 6.02-11
perl-xml-libxml 2.0208-1
perl-xml-namespacesupport 1.12-5
perl-xml-parser 2.46-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-5
perl-xml-sax-expat 0.51-7
perl-xml-simple 2.25-7
perl-xml-writer 0.900-1
phodav 3.0-2
pinentry 1.2.1-1
pipes.sh 1.3.0-1
pipewire 1:0.3.71-2
pipewire-alsa 1:0.3.71-2
pipewire-audio 1:0.3.71-2
pipewire-jack 1:0.3.71-2
pipewire-pulse 1:0.3.71-2
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
pkgfile 21-2
playerctl 2.4.1-3
polkit 122-1
polkit-gnome 0.105-10
polybar 3.6.3-3
poppler 23.05.0-1
poppler-data 0.4.12-1
poppler-glib 23.05.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postfix 3.8.0-1
power-profiles-daemon 0.13-1
powerline-fonts-git r202.e80e3eb-1
powertop 2.15-1
ppp 2.4.9-3
pptpclient 1.10.0-3
procps-ng 3.3.17-1
psmisc 23.6-1
pv 1.6.20-2
python 3.11.3-1
python-appdirs 1.4.4-8
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-bcrypt 4.0.1-2
python-botocore 1.29.89-4
python-cairo 1.23.0-6
python-cairocffi 1.4.0-4
python-capng 0.8.3-2
python-certifi 2023.05.07-1
python-cffi 1.15.1-3
python-chardet 5.1.0-3
python-charset-normalizer 3.1.0-3
python-colorama 0.4.6-2
python-cryptography 40.0.2-1
python-dateutil 2.8.2-5
python-defusedxml 0.7.1-5
python-distlib 0.3.6-3
python-distro 1.8.0-3
python-docutils 1:0.20.1-1
python-fastjsonschema 2.17.1-1
python-filelock 3.12.0-2
python-future 0.18.3-1
python-gobject 3.44.1-4
python-idna 3.4-3
python-importlib-metadata 5.0.0-5
python-inflect 6.0.4-2
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.7.0-1
python-jaraco.text 3.11.1-3
python-jinja 1:3.1.2-4
python-jmespath 1.0.1-2
python-markdown-it-py 2.2.0-3
python-markupsafe 2.1.2-3
python-mdurl 0.1.2-4
python-more-itertools 9.1.1-4
python-multidict 6.0.4-2
python-ordered-set 4.1.0-4
python-packaging 23.1-1
python-paramiko 2.11.1-3
python-pbr 5.11.1-5
python-pillow 9.5.0-2
python-pip 23.1.2-1
python-platformdirs 3.5.1-1
python-ply 3.11-12
python-psutil 5.9.5-1
python-pyaml 23.5.9-1
python-pyasn1 0.4.8-8
python-pycparser 2.21-5
python-pycups 2.0.1-6
python-pycurl 7.45.2-3
python-pydantic 1.10.8-1
python-pygments 2.15.1-1
python-pynacl 1.4.0-6
python-pyparsing 3.0.9-3
python-pyqt5 5.15.9-2
